,Location,Salary Estimate,Rating,count,lat,lng,population
0,Calabasas,70689.0,4.1,2,34.1375,-118.6689,23842
1,Calabasas,70689.0,4.1,2,34.1375,-118.6689,23842
2,Carson,58338.0,4.3,1,33.8374,-118.2559,91354
3,Culver City,73684.0,3.7,1,34.0058,-118.3968,38913
4,Garden Grove,91259.0,3.7,1,33.7787,-117.9601,172800
5,La Mesa,53022.0,4.2,1,32.7703,-117.0204,60208
6,Livermore,24.5,3.9,1,37.6868,-121.7607,88412
7,Los Angeles,63406.526666666665,4.133333333333334,6,34.1141,-118.4068,12531334
8,Los Angeles,63406.526666666665,4.133333333333334,6,34.1141,-118.4068,12531334
9,Los Angeles,63406.526666666665,4.133333333333334,6,34.1141,-118.4068,12531334
10,Los Angeles,63406.526666666665,4.133333333333334,6,34.1141,-118.4068,12531334
11,Los Angeles,63406.526666666665,4.133333333333334,6,34.1141,-118.4068,12531334
12,Los Angeles,63406.526666666665,4.133333333333334,6,34.1141,-118.4068,12531334
13,Monterey,145000.0,3.5,1,36.5919,-121.8808,28575
14,Mountain View,84326.0,4.8,1,37.4001,-122.0796,80104
15,San Diego,85100.0,4.0,1,32.8313,-117.1222,3178495
16,San Francisco,66278.66666666667,4.2,3,37.7558,-122.4449,3557982
17,San Francisco,66278.66666666667,4.2,3,37.7558,-122.4449,3557982
18,San Francisco,66278.66666666667,4.2,3,37.7558,-122.4449,3557982
19,San Jose,146000.0,4.2,1,37.3012,-121.848,1797166
20,Santa Ana,59166.0,3.4,1,33.7367,-117.8819,332610
21,Seaside,159100.0,3.6,1,36.6224,-121.8199,116189
