,Location,Salary,Rating,count,lat,lng,population
0,Alameda,40.0,3.3,1,37.7668,-122.267,79827
1,Burbank,66534.0,3.9,2,34.1879,-118.3235,103411
2,Calabasas,67402.0,3.7,1,34.1375,-118.6689,23842
3,Carson,58338.0,4.3,1,33.8374,-118.2559,91354
4,Cerritos,80606.0,2.9,1,33.8678,-118.0686,49388
5,Commerce,62258.0,4.2,1,33.9963,-118.1519,12738
6,Cupertino,47.5,4.3,1,37.3168,-122.0466,59799
7,Dublin,64415.0,3.3,1,37.7161,-121.8963,63856
8,Folsom,86248.0,4.3,2,38.6668,-121.1422,79584
9,Garden Grove,91259.0,3.7,1,33.7787,-117.9601,172800
10,Irvine,28.0,4.0,1,33.6772,-117.7738,272694
11,Livermore,24.5,3.9,1,37.6868,-121.7607,88412
12,Los Angeles,81264.18181818182,4.045454545454546,11,34.1141,-118.4068,12531334
13,Menlo Park,101381.0,4.3,2,37.4685,-122.1673,35211
14,Mountain View,90977.0,3.9333333333333336,6,37.4001,-122.0796,80104
15,Oakland,62.5,4.1,2,37.7904,-122.2166,422575
16,Oceanside,61.5,3.9,1,33.2247,-117.3083,175694
17,Ontario,68483.0,4.4,2,34.0393,-117.6064,178194
18,Palo Alto,83975.0,4.300000000000001,2,37.3905,-122.1468,67973
19,Pasadena,30.0,4.0,1,34.1597,-118.139,142017
20,Rancho Cucamonga,38.37,3.0,1,34.1247,-117.5667,178060
21,Roseville,56253.0,3.9,1,38.7703,-121.3196,138860
22,Sacramento,71823.25,3.825,4,38.5677,-121.4685,1882358
23,San Diego,73224.28571428571,4.242857142857143,7,32.8313,-117.1222,3178495
24,San Francisco,73478.5,4.262499999999999,8,37.7558,-122.4449,3557982
25,San Jose,51266.25,3.55,2,37.3012,-121.848,1797166
26,San Mateo,25.5,3.9,1,37.5522,-122.3121,103619
27,Santa Ana,29599.5,3.75,2,33.7367,-117.8819,332610
28,Santa Fe Springs,24.0,3.2,1,33.9329,-118.0625,17643
29,Santa Monica,77084.0,3.5,2,34.0235,-118.481,91600
30,Seaside,159100.0,3.6,1,36.6224,-121.8199,116189
31,Sunnyvale,27804.666666666668,3.6666666666666665,3,37.3836,-122.0255,152569
32,Temecula,52.5,4.3,1,33.4928,-117.1315,113117
33,Torrance,22.0,3.1,2,33.8346,-118.3416,144430
34,Walnut Creek,73.75,4.1,1,37.9024,-122.0399,69836
