,Salary,Rating,Company,Location,Founded,Ownership,Industry,county_fips,population,lng,lat
0,84326.0,4.8,RAYBEAM/DEPT®,Mountain View,1997,Private,Business Consulting,6085,80104,-122.0796,37.4001
1,102143.0,4.0,SpaceX,Mountain View,2002,Private,Aerospace & Defense,6085,80104,-122.0796,37.4001
2,92486.0,3.6,TikTok,Mountain View,2016,Private,Internet & Web Services,6085,80104,-122.0796,37.4001
3,72653.0,3.6,TikTok,Mountain View,2016,Private,Internet & Web Services,6085,80104,-122.0796,37.4001
4,92111.0,3.6,TikTok,Mountain View,2016,Private,Internet & Web Services,6085,80104,-122.0796,37.4001
5,102143.0,4.0,SpaceX,Mountain View,2002,Private,Aerospace & Defense,6085,80104,-122.0796,37.4001
6,84326.0,4.8,RAYBEAM/DEPT®,Mountain View,1997,Private,Business Consulting,6085,80104,-122.0796,37.4001
7,84326.0,4.8,RAYBEAM/DEPT®,Mountain View,1997,Private,Business Consulting,6085,80104,-122.0796,37.4001
8,84326.0,4.8,RAYBEAM/DEPT®,Mountain View,1997,Private,Business Consulting,6085,80104,-122.0796,37.4001
9,84326.0,4.8,RAYBEAM/DEPT®,Mountain View,1997,Private,Business Consulting,6085,80104,-122.0796,37.4001
10,75237.0,4.0,Jellysmack,Los Angeles,2016,Private,Internet & Web Services,6037,12531334,-118.4068,34.1141
11,82410.0,4.3,Intuit - Data,Los Angeles,1983,Public,Computer Hardware Development,6037,12531334,-118.4068,34.1141
12,77620.0,4.4,SoCalGas,Los Angeles,1929,,Energy & Utilities,6037,12531334,-118.4068,34.1141
13,63057.0,3.9,FanDuel,Los Angeles,2009,Private,Sports & Recreation,6037,12531334,-118.4068,34.1141
14,77406.0,3.6,TikTok,Los Angeles,2016,Private,Internet & Web Services,6037,12531334,-118.4068,34.1141
15,77620.0,4.4,SoCalGas,Los Angeles,1929,,Energy & Utilities,6037,12531334,-118.4068,34.1141
16,69693.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending,6037,12531334,-118.4068,34.1141
17,100400.0,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals,6037,12531334,-118.4068,34.1141
18,130000.0,4.2,CyberCoders,Los Angeles,1999,,HR Consulting,6037,12531334,-118.4068,34.1141
19,63057.0,3.9,FanDuel,Los Angeles,2009,Private,Sports & Recreation,6037,12531334,-118.4068,34.1141
20,77406.0,3.6,TikTok,Los Angeles,2016,Private,Internet & Web Services,6037,12531334,-118.4068,34.1141
21,60149.0,3.1,Emjay,Los Angeles,,,,6037,12531334,-118.4068,34.1141
22,72113.0,3.8,Blueprint Test Preparation,Los Angeles,2005,Public,Education & Training Services,6037,12531334,-118.4068,34.1141
23,70000.0,4.0,Cloudinfraspecs,Los Angeles,,,,6037,12531334,-118.4068,34.1141
24,76530.0,3.3,Bambee,Los Angeles,2016,Private,Building & Personnel Services,6037,12531334,-118.4068,34.1141
25,69427.2,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals,6037,12531334,-118.4068,34.1141
26,75237.0,4.0,Jellysmack,Los Angeles,2016,Private,Internet & Web Services,6037,12531334,-118.4068,34.1141
27,77620.0,4.4,SoCalGas,Los Angeles,1929,,Energy & Utilities,6037,12531334,-118.4068,34.1141
28,57453.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending,6037,12531334,-118.4068,34.1141
29,100400.0,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals,6037,12531334,-118.4068,34.1141
30,75237.0,4.0,Jellysmack,Los Angeles,2016,Private,Internet & Web Services,6037,12531334,-118.4068,34.1141
31,69693.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending,6037,12531334,-118.4068,34.1141
32,77620.0,4.4,SoCalGas,Los Angeles,1929,,Energy & Utilities,6037,12531334,-118.4068,34.1141
33,57453.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending,6037,12531334,-118.4068,34.1141
34,69427.2,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals,6037,12531334,-118.4068,34.1141
35,75237.0,4.0,Jellysmack,Los Angeles,2016,Private,Internet & Web Services,6037,12531334,-118.4068,34.1141
36,69693.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending,6037,12531334,-118.4068,34.1141
37,77620.0,4.4,SoCalGas,Los Angeles,1929,,Energy & Utilities,6037,12531334,-118.4068,34.1141
38,57453.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending,6037,12531334,-118.4068,34.1141
39,69427.2,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals,6037,12531334,-118.4068,34.1141
40,130000.0,4.2,CyberCoders,Los Angeles,1999,,HR Consulting,6037,12531334,-118.4068,34.1141
41,75237.0,4.0,Jellysmack,Los Angeles,2016,Private,Internet & Web Services,6037,12531334,-118.4068,34.1141
42,69693.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending,6037,12531334,-118.4068,34.1141
43,77620.0,4.4,SoCalGas,Los Angeles,1929,,Energy & Utilities,6037,12531334,-118.4068,34.1141
44,57453.0,4.2,Sunbit,Los Angeles,2016,Private,Banking & Lending,6037,12531334,-118.4068,34.1141
45,69427.2,4.0,UCLA Health,Los Angeles,1919,Public,Health Care Services & Hospitals,6037,12531334,-118.4068,34.1141
46,130000.0,4.2,CyberCoders,Los Angeles,1999,,HR Consulting,6037,12531334,-118.4068,34.1141
47,68483.0,4.4,Carfax,Ontario,1984,,Information Technology Support Services,6071,178194,-117.6064,34.0393
48,68483.0,4.4,Carfax,Ontario,1984,,Information Technology Support Services,6071,178194,-117.6064,34.0393
49,89000.0,3.5,Kinetic Personnel Group Inc.,Ontario,,,,6071,178194,-117.6064,34.0393
50,159100.0,3.6,Peraton,Seaside,2017,Private,Information Technology Support Services,6053,116189,-121.8199,36.6224
51,159100.0,3.6,Peraton,Seaside,2017,Private,Information Technology Support Services,6053,116189,-121.8199,36.6224
52,159100.0,3.6,Peraton,Seaside,2017,Private,Information Technology Support Services,6053,116189,-121.8199,36.6224
53,88576.0,4.3,"AxleHire, Inc.",San Francisco,2015,Private,Shipping & Trucking,6075,3557982,-122.4449,37.7558
54,113776.0,4.0,Uber,San Francisco,2009,Public,Internet & Web Services,6075,3557982,-122.4449,37.7558
55,124800.0,4.6,CorTech,San Francisco,1999,Private,Staffing & Subcontracting,6075,3557982,-122.4449,37.7558
56,97187.0,5.0,MoneyGeek.com,San Francisco,,,,6075,3557982,-122.4449,37.7558
57,88576.0,4.3,"AxleHire, Inc.",San Francisco,2015,Private,Shipping & Trucking,6075,3557982,-122.4449,37.7558
58,124800.0,4.6,CorTech,San Francisco,1999,Private,Staffing & Subcontracting,6075,3557982,-122.4449,37.7558
59,135000.0,4.2,CyberCoders,San Francisco,1999,,HR Consulting,6075,3557982,-122.4449,37.7558
60,85000.0,4.0,Mission Asset Fund,San Francisco,,,Financial Services,6075,3557982,-122.4449,37.7558
61,76770.0,4.1,University of California San Francisco,San Francisco,1864,,Colleges & Universities,6075,3557982,-122.4449,37.7558
62,97187.0,5.0,MoneyGeek.com,San Francisco,,,,6075,3557982,-122.4449,37.7558
