,Name,City,State,Location,Acceptance_Rate,Price,Average_Salary_After_10_Years,Graduation_Rate,Student_Population,University_Type,room_board_expense,student_faculty_ratio,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
0,University of Alabama at Birmingham,Birmingham,AL,"Birmingham, AL",0.737,27630.0,46400.0,0.55,21923.0,Public,11682.0,19.0,35203,33.519055,-86.8097,-6,1,"33.519055,-86.8097"
74,Birmingham Southern College,Birmingham,AL,"Birmingham, AL",0.5379999999999999,35090.0,51000.0,0.63,1268.0,Private,11920.0,13.0,35203,33.519055,-86.8097,-6,1,"33.519055,-86.8097"
148,Samford University,Birmingham,AL,"Birmingham, AL",0.833,49634.0,57400.0,0.7,5619.0,Private,9830.0,12.0,35203,33.519055,-86.8097,-6,1,"33.519055,-86.8097"
222,The University of Alabama,Tuscaloosa,AL,"Tuscaloosa, AL",0.8270000000000001,30016.0,49900.0,0.66,38390.0,Public,13050.0,23.0,35404,33.217168,-87.49461,-6,1,"33.217168,-87.49461"
232,Auburn University at Montgomery,Montgomery,AL,"Montgomery, AL",0.904,20650.0,37900.0,0.21,5211.0,Public,5650.0,16.0,36131,32.233377000000004,-86.208528,-6,1,"32.233377,-86.208528"
267,Huntingdon College,Montgomery,AL,"Montgomery, AL",0.593,38685.0,42400.0,0.43,1081.0,Private,9100.0,15.0,36131,32.233377000000004,-86.208528,-6,1,"32.233377,-86.208528"
302,Auburn University,Auburn University,AL,"Auburn University, AL",0.807,32196.0,54100.0,0.72,30440.0,Public,12898.0,19.0,36849,32.602434,-85.4858,-6,1,"32.602434,-85.4858"
303,University of Mobile,Mobile,AL,"Mobile, AL",0.457,40110.0,38200.0,0.43,1885.0,Private,9600.0,14.0,36663,30.81901,-88.231726,-6,1,"30.81901,-88.231726"
346,University of South Alabama,Mobile,AL,"Mobile, AL",0.787,22412.0,45200.0,0.37,14834.0,Public,7340.0,18.0,36663,30.81901,-88.231726,-6,1,"30.81901,-88.231726"
389,Spring Hill College,Mobile,AL,"Mobile, AL",0.498,59062.0,48700.0,0.56,1379.0,Private,12690.0,14.0,36663,30.81901,-88.231726,-6,1,"30.81901,-88.231726"
432,University of Montevallo,Montevallo,AL,"Montevallo, AL",0.532,27718.0,36000.0,0.45,2612.0,Public,8980.0,14.0,35715,33.08696,-86.855772,-6,1,"33.08696,-86.855772"
434,Troy University,Troy,AL,"Troy, AL",0.8759999999999999,21778.0,39400.0,0.34,16981.0,Public,6528.0,14.0,36082,31.816474,-85.964713,-6,1,"31.816474,-85.964713"
437,University of Arizona,Tucson,AZ,"Tucson, AZ",0.846,30041.0,54000.0,0.61,44097.0,Public,11300.0,15.0,85752,31.970131,-111.89071299999999,-7,0,"31.970131,-111.890713"
489,Lyon College,Batesville,AR,"Batesville, AR",0.444,42450.0,43900.0,0.42,655.0,Private,8440.0,13.0,72503,35.734617,-91.53430300000001,-6,1,"35.734617,-91.534303"
491,University of Arkansas,Fayetteville,AR,"Fayetteville, AR",0.7709999999999999,26144.0,50400.0,0.62,27778.0,Public,10332.0,18.0,72703,36.107078,-94.11591999999999,-6,1,"36.107078,-94.11592"
495,University of Central Arkansas,Conway,AR,"Conway, AR",0.904,23903.0,40800.0,0.45,11177.0,Public,6248.0,16.0,72033,35.105306,-92.354915,-6,1,"35.105306,-92.354915"
499,Hendrix College,Conway,AR,"Conway, AR",0.7,64060.0,46200.0,0.71,1208.0,Private,11580.0,11.0,72033,35.105306,-92.354915,-6,1,"35.105306,-92.354915"
503,Harding University,Searcy,AR,"Searcy, AR",0.613,31911.0,44800.0,0.63,5121.0,Private,6756.0,14.0,72143,35.239022,-91.73776,-6,1,"35.239022,-91.73776"
506,John Brown University,Siloam Springs,AR,"Siloam Springs, AR",0.758,40774.0,53600.0,0.61,2516.0,Private,8840.0,14.0,72761,36.179905,-94.50208,-6,1,"36.179905,-94.50208"
507,Ouachita Baptist University,Arkadelphia,AR,"Arkadelphia, AR",0.614,40200.0,43400.0,0.61,1660.0,Private,7380.0,12.0,71999,34.055486,-93.189406,-6,1,"34.055486,-93.189406"
510,Azusa Pacific University,Azusa,CA,"Azusa, CA",0.675,56826.0,54200.0,0.68,10095.0,Private,9492.0,10.0,91702,34.128907,-117.90308999999999,-8,1,"34.128907,-117.90309"
511,Biola University,La Mirada,CA,"La Mirada, CA",0.6990000000000001,59176.0,48900.0,0.69,6109.0,Private,10560.0,14.0,90638,33.90213,-118.00966000000001,-8,1,"33.90213,-118.00966"
514,California Baptist University,Riverside,CA,"Riverside, CA",0.7829999999999999,50228.0,45100.0,0.58,10486.0,Private,8210.0,17.0,92517,33.752886,-116.055617,-8,1,"33.752886,-116.055617"
531,La Sierra University,Riverside,CA,"Riverside, CA",0.552,47883.0,51900.0,0.5,2339.0,Private,8100.0,13.0,92517,33.752886,-116.055617,-8,1,"33.752886,-116.055617"
548,California Institute of Technology,Pasadena,CA,"Pasadena, CA",0.064,74763.0,85800.0,0.91,2233.0,Private,14100.0,3.0,91131,33.786594,-118.29866200000001,-8,1,"33.786594,-118.298662"
579,California Lutheran University,Thousand Oaks,CA,"Thousand Oaks, CA",0.7140000000000001,64270.0,57900.0,0.66,4383.0,Private,13060.0,16.0,91358,34.032383,-119.1343,-8,1,"34.032383,-119.1343"
582,Chapman University,Orange,CA,"Orange, CA",0.557,75112.0,54100.0,0.77,9608.0,Private,14368.0,14.0,92867,33.811566,-117.82919,-8,1,"33.811566,-117.82919"
593,Claremont McKenna College,Claremont,CA,"Claremont, CA",0.10300000000000001,76475.0,97800.0,0.91,1327.0,Private,15740.0,8.0,91711,34.110009000000005,-117.71973,-8,1,"34.110009,-117.71973"
594,Harvey Mudd College,Claremont,CA,"Claremont, CA",0.13699999999999998,79539.0,84900.0,0.91,902.0,Private,17051.0,8.0,91711,34.110009000000005,-117.71973,-8,1,"34.110009,-117.71973"
595,Pomona College,Claremont,CA,"Claremont, CA",0.07400000000000001,74480.0,70500.0,0.94,1573.0,Private,15605.0,7.0,91711,34.110009000000005,-117.71973,-8,1,"34.110009,-117.71973"
